問題文,選択肢A,選択肢B,選択肢C,選択肢D,解答
 再診料は、初診の後の何回目の診察から算定できますか？,1回目,2回目,3回目,4回目,B
 診療報酬点数表において、基本診療料と特掲診療料は何章に分類されますか？,1つ,2つ,3つ,4つ,B
 医療保険は、大きく3つに分類されます。含まれないものはどれですか？,被用者保険,地域保険,後期高齢者医療,介護保険,D
 保険医療機関及び保険医療養担当規則は何省令で定められていますか？,総務省,厚生労働省,経済産業省,文部科学省,B
 病院とは、患者を何人以上入院させる施設を所有するものをいいますか？,10人,20人,30人,40人,B
 麻酔管理料(I)を算定するために必要な医師の資格は何ですか？,内科医,外科医,麻酔科標榜医,整形外科医,C
 外来迅速検体検査加算は何項目を限度として算定できますか？,3項目,4項目,5項目,6項目,C
 画像診断管理加算1の点数は何点ですか？,240点,340点,440点,540点,B
 心大血管疾患リハビリテーション料(II)の1単位は何点ですか？,105点,115点,125点,135点,C
 精神科専門療法は、特に規定する場合を除き、どこで算定しますか？,内科,外科,精神科を標榜する保険医療機関,整形外科,C
 放射線治療は、癌の何療法の一つですか？,一大療法,二大療法,三大療法,四大療法,C
 初診料の点数は何点ですか？（乳幼児加算を除く）,251点,261点,271点,281点,D
 外来管理加算は何点ですか？,32点,42点,52点,62点,C
 急性期一般入院料は、病院の何に応じて点数を算定しますか？,規模,施設基準の届出,医師数,看護師数,B
 特定疾患療養管理料は、同一月に何回まで算定できますか？,1回,2回,3回,4回,B
 往診料は何点ですか？,620点,720点,820点,920点,B
 投薬料は、院内処方と院外処方のどちらで薬剤の料金を算定しますか？,院内処方,院外処方,どちらも,どちらも算定しない,A
 注射料は、外来の患者様と入院中の患者様で、注射実施料の算定に違いがありますか？,同じ,異なる,外来のみ算定,入院のみ算定,B
 創傷処置で使用した薬剤料は、使用した薬剤の総量価格が何円を超えた場合に算定できますか？,5円,10円,15円,20円,C
 輸血管理料は、月何回を限度として算定しますか？,1回,2回,3回,4回,A
 健康保険証の交付を受けることにより、全国の保険医療機関で何ができるようになりますか？,予約ができる,相談ができる,フリーアクセス,特別な治療が受けられる,C
 レセプトを作成する上で、カルテを正しく読み取り、何を正確に作成する知識が必要となりますか？,問診票, медицински преглед,診療報酬明細書, госпитализација,C
 医師が患者の病状・処置・経過等を記録したものを何と言いますか？,紹介状, госпитализација,カルテ, госпитализација,C
 健康保険法において、保険給付は現物給付と何給付がありますか？,現金給付, госпитализација, электронски трансфер, госпитализација,A
 日本では未承認の薬や注射薬等、患者様からの申し出により、個別に認可される保険外療養を何と言いますか？,評価療養, госпитализација, пациент, пациент,C
 保険医療機関は、患者様から受診の要望があったとき、何で受給資格があるかを確認する必要がありますか？,診察券, госпитализација,пациент,マイナカードまたは被保険者証,D
 地域医療支援病院の承認は、誰が行いますか？,厚生労働大臣, госпитализација,都道府県知事, госпитализација,C
 医科のレセプトは、患者様ごと、診療月ごと、外来と何に分けて作成されますか？, госпитализација, госпитализација, патување, патување,A
 薬剤は、2剤以上の薬剤は合算し、その後でどうしますか？,四捨五入, патување,五捨六入,五捨五超入,D
 被保険者の三親等内の親族とは誰ですか？,父母、祖父母等, патување, браќа и сестри, браќа и сестри,C
 
